,T_min,T_max,T**0,T**(-1.0),T,T**2.0,T**3.0,Tlog(T),phase,S1,S2,T**4.0,T**(-9.0),S3,S4,T**(-3.0),T**(-2.0),T**7.0,S5,T**(-5.0),T**(-7.0),Tlog(1.0e-5*P)
144,298.150000000000,800.000000000000,-63087.6000000000,24133.0000000000,606.133000000000,-0.00394342000000000,-3.23966000000000e-6,-123.574000000000,AG4SC,AG,SC,,,,,,,,,,,
145,800.000000000000,1234.93000000000,-61909.3000000000,-48044.0000000000,585.411000000000,-0.00773564000000000,-2.45369000000000e-6,-120.299000000000,AG4SC,AG,SC,,,,,,,,,,,
146,1234.93000000000,3000.00000000000,-92346.7000000000,,893.022000000000,,,-161.920000000000,AG4SC,AG,SC,,,,,,,,,,,
147,,,0,,,,,,AG4SC,AG,SC,,,,,,,,,,,
148,298.150000000000,820.000000000000,-78370.4150000000,-50099.0000000000,577.691930000000,-0.0117745900000000,-1.76182500000000e-6,-119.290330000000,AG4SR,AG,SR,,,,,,,,,,,
149,820.000000000000,1012.70000000000,-84218.1470000000,802090.000000000,623.704130000000,-0.0104136060000000,-1.41015900000000e-6,-125.475870000000,AG4SR,AG,SR,,,,,,,,,,,
150,1012.70000000000,6000.00000000000,-97588.0810000000,,820.883750000000,,,-153.680600000000,AG4SR,AG,SR,,,,,,,,,,,
151,,,0,,,,,,AG4SR,AG,SR,,,,,,,,,,,
152,298.150000000000,1234.93000000000,-1675452.10000000,-1887900.00000000,6516.02750000000,-0.384000660000000,2.78708330000000e-5,-1410.55970000000,AG51CE14,AG,CE,,,,,,,,,,,
153,1234.93000000000,6000.00000000000,-2087278.90000000,,11543.5810000000,,,-2130.77110000000,AG51CE14,AG,CE,,,,,,,,,,,
154,,,0,,,,,,AG51CE14,AG,CE,,,,,,,,,,,
155,100.000000000000,1000.00000000000,-25649.6655262440,863.949077010000,23.4820165448000,-0.000164066659717800,-1.26421302525000e-7,-5.68477577718000,AG51DY14,AG,DY,,,,,,,,,,,
156,,,0,,,,,,AG51DY14,AG,DY,,,,,,,,,,,
157,1234.93000000000,3000.00000000000,-35783.7347192000,,149.283020578400,,,-26.2621312000000,AG51DY14,AG,DY,,1.10767709580000e+29,,,,,,,,,
158,1000.00000000000,1654.15000000000,-26898.1588512000,0.00373977208596000,47.5433859836000,0.00359523711354000,-7.53259908744000e-7,-9.44062355286000,AG51DY14,AG,DY,,,,,,,,,,,
159,1654.15000000000,3000.00000000000,-111108.367313400,23611337.6652000,439.168279100000,0.0124566182087400,-5.94868344792000e-7,-58.6154992608000,AG51DY14,AG,DY,,,,,,,,,,,
160,298.150000000000,1802.00000000000,-29705.5598944000,2063.74740000000,27.4839568456000,0.000214493596800000,-2.05180777800000e-7,-6.11405886576000,AG51ER14,AG,ER,,,,,,,,,,,
161,,,0,,,,,,AG51ER14,AG,ER,,,,,,,,,,,
162,1234.93000000000,3000.00000000000,-39720.7347192000,,149.283020578400,,,-26.2621312000000,AG51ER14,AG,ER,,1.10767709580000e+29,,,,,,,,,
163,1802.00000000000,3200.00000000000,-123878.239572400,26703827.0646000,483.357195786400,0.0142057491162000,-6.55118637000000e-7,-64.2183071097000,AG51ER14,AG,ER,,,,,,,,,,,
164,298.150000000000,1234.93000000000,-1969935.11200000,-612561.000000000,6028.30266300000,-0.0913198350000000,-2.03279370000000e-5,-1216.16290140000,AG51GD14,AG,GD,,,,,,,,,,,
165,,,0,,,,,,AG51GD14,AG,GD,,,,,,,,,,,
166,1000.00000000000,1508.15000000000,-1693015.50000000,,1339.68788380000,-0.0259315015400000,-9.25696249800000e-6,-345.237615800000,AG51GD14,AG,GD,,,,,,,,,,,
167,1508.15000000000,3600.00000000000,-3325999.86000000,410996464.200000,9787.75750540000,0.210901944400000,-8.94832327200000e-6,-1425.20275800000,AG51GD14,AG,GD,,,,,,,,,,,
168,1234.93000000000,3000.00000000000,-2372107.85200000,,9703.58660400000,,,-1707.07200000000,AG51GD14,AG,GD,,7.20004230000000e+30,,,,,,,,,
